version,dataset,patch_size,blocks,threads,time
./bin/v1,./data/noise_image_lena_const.txt,3,16,32,3.694860
./bin/v1,./data/noise_image_lena_const.txt,3,16,64,1.816126
./bin/v1,./data/noise_image_lena_const.txt,3,16,128,0.952929
./bin/v1,./data/noise_image_lena_const.txt,3,16,256,0.515171
./bin/v1,./data/noise_image_lena_const.txt,3,16,512,0.302380
./bin/v1,./data/noise_image_lena_const.txt,3,16,1024,0.302358
./bin/v1,./data/noise_image_lena_const.txt,3,16,2048,0.002499
./bin/v1,./data/noise_image_lena_const.txt,3,32,32,1.774532
./bin/v1,./data/noise_image_lena_const.txt,3,32,64,0.914122
./bin/v1,./data/noise_image_lena_const.txt,3,32,128,0.483409
./bin/v1,./data/noise_image_lena_const.txt,3,32,256,0.272239
./bin/v1,./data/noise_image_lena_const.txt,3,32,512,0.223083
./bin/v1,./data/noise_image_lena_const.txt,3,32,1024,0.229087
./bin/v1,./data/noise_image_lena_const.txt,3,32,2048,0.002464
./bin/v1,./data/noise_image_lena_const.txt,3,64,32,0.908764
./bin/v1,./data/noise_image_lena_const.txt,3,64,64,0.480436
./bin/v1,./data/noise_image_lena_const.txt,3,64,128,0.270402
./bin/v1,./data/noise_image_lena_const.txt,3,64,256,0.238760
./bin/v1,./data/noise_image_lena_const.txt,3,64,512,0.230745
./bin/v1,./data/noise_image_lena_const.txt,3,64,1024,0.227382
./bin/v1,./data/noise_image_lena_const.txt,3,64,2048,0.002500
./bin/v1,./data/noise_image_lena_const.txt,3,128,32,0.478484
./bin/v1,./data/noise_image_lena_const.txt,3,128,64,0.272283
./bin/v1,./data/noise_image_lena_const.txt,3,128,128,0.249779
./bin/v1,./data/noise_image_lena_const.txt,3,128,256,0.234434
./bin/v1,./data/noise_image_lena_const.txt,3,128,512,0.231853
./bin/v1,./data/noise_image_lena_const.txt,3,128,1024,0.228960
./bin/v1,./data/noise_image_lena_const.txt,3,128,2048,0.002527
./bin/v1,./data/noise_image_lena_const.txt,3,256,32,0.257689
./bin/v1,./data/noise_image_lena_const.txt,3,256,64,0.235837
./bin/v1,./data/noise_image_lena_const.txt,3,256,128,0.218715
./bin/v1,./data/noise_image_lena_const.txt,3,256,256,0.211969
./bin/v1,./data/noise_image_lena_const.txt,3,256,512,0.232450
./bin/v1,./data/noise_image_lena_const.txt,3,256,1024,0.229543
./bin/v1,./data/noise_image_lena_const.txt,3,256,2048,0.002477
./bin/v1,./data/noise_image_lena_const.txt,3,512,32,0.229730
./bin/v1,./data/noise_image_lena_const.txt,3,512,64,0.216931
./bin/v1,./data/noise_image_lena_const.txt,3,512,128,0.204253
./bin/v1,./data/noise_image_lena_const.txt,3,512,256,0.211359
./bin/v1,./data/noise_image_lena_const.txt,3,512,512,0.232202
./bin/v1,./data/noise_image_lena_const.txt,3,512,1024,0.228336
./bin/v1,./data/noise_image_lena_const.txt,3,512,2048,0.002473
./bin/v1,./data/noise_image_lena_const.txt,3,1024,32,0.218020
./bin/v1,./data/noise_image_lena_const.txt,3,1024,64,0.207560
./bin/v1,./data/noise_image_lena_const.txt,3,1024,128,0.204502
./bin/v1,./data/noise_image_lena_const.txt,3,1024,256,0.211964
./bin/v1,./data/noise_image_lena_const.txt,3,1024,512,0.232645
./bin/v1,./data/noise_image_lena_const.txt,3,1024,1024,0.229561
./bin/v1,./data/noise_image_lena_const.txt,3,1024,2048,0.002480
./bin/v1,./data/noise_image_lena_const.txt,3,2048,32,0.204018
./bin/v1,./data/noise_image_lena_const.txt,3,2048,64,0.207764
./bin/v1,./data/noise_image_lena_const.txt,3,2048,128,0.203266
./bin/v1,./data/noise_image_lena_const.txt,3,2048,256,0.209896
./bin/v1,./data/noise_image_lena_const.txt,3,2048,512,0.233433
./bin/v1,./data/noise_image_lena_const.txt,3,2048,1024,0.229772
./bin/v1,./data/noise_image_lena_const.txt,3,2048,2048,0.002540
./bin/v1,./data/noise_image_lena_const.txt,3,4094,32,0.204130
./bin/v1,./data/noise_image_lena_const.txt,3,4094,64,0.209643
./bin/v1,./data/noise_image_lena_const.txt,3,4094,128,0.207104
./bin/v1,./data/noise_image_lena_const.txt,3,4094,256,0.210378
./bin/v1,./data/noise_image_lena_const.txt,3,4094,512,0.232844
./bin/v1,./data/noise_image_lena_const.txt,3,4094,1024,0.229519
./bin/v1,./data/noise_image_lena_const.txt,3,4094,2048,0.002549
./bin/v1,./data/noise_image_lena_const.txt,5,16,32,7.882567
./bin/v1,./data/noise_image_lena_const.txt,5,16,64,4.238929
./bin/v1,./data/noise_image_lena_const.txt,5,16,128,2.456803
./bin/v1,./data/noise_image_lena_const.txt,5,16,256,1.604239
./bin/v1,./data/noise_image_lena_const.txt,5,16,512,1.658919
./bin/v1,./data/noise_image_lena_const.txt,5,16,1024,2.956526
./bin/v1,./data/noise_image_lena_const.txt,5,16,2048,0.005040
./bin/v1,./data/noise_image_lena_const.txt,5,32,32,3.919754
./bin/v1,./data/noise_image_lena_const.txt,5,32,64,2.107777
./bin/v1,./data/noise_image_lena_const.txt,5,32,128,1.182713
./bin/v1,./data/noise_image_lena_const.txt,5,32,256,1.096394
./bin/v1,./data/noise_image_lena_const.txt,5,32,512,1.204592
./bin/v1,./data/noise_image_lena_const.txt,5,32,1024,2.257253
./bin/v1,./data/noise_image_lena_const.txt,5,32,2048,0.004995
./bin/v1,./data/noise_image_lena_const.txt,5,64,32,1.983207
./bin/v1,./data/noise_image_lena_const.txt,5,64,64,1.211150
./bin/v1,./data/noise_image_lena_const.txt,5,64,128,1.146070
./bin/v1,./data/noise_image_lena_const.txt,5,64,256,1.159633
./bin/v1,./data/noise_image_lena_const.txt,5,64,512,1.313623
./bin/v1,./data/noise_image_lena_const.txt,5,64,1024,2.463833
./bin/v1,./data/noise_image_lena_const.txt,5,64,2048,0.004991
./bin/v1,./data/noise_image_lena_const.txt,5,128,32,1.210452
./bin/v1,./data/noise_image_lena_const.txt,5,128,64,1.148596
./bin/v1,./data/noise_image_lena_const.txt,5,128,128,1.148750
./bin/v1,./data/noise_image_lena_const.txt,5,128,256,1.185017
./bin/v1,./data/noise_image_lena_const.txt,5,128,512,1.415529
./bin/v1,./data/noise_image_lena_const.txt,5,128,1024,2.492450
./bin/v1,./data/noise_image_lena_const.txt,5,128,2048,0.004962
./bin/v1,./data/noise_image_lena_const.txt,5,256,32,1.075601
./bin/v1,./data/noise_image_lena_const.txt,5,256,64,1.154981
./bin/v1,./data/noise_image_lena_const.txt,5,256,128,1.094290
./bin/v1,./data/noise_image_lena_const.txt,5,256,256,1.186919
./bin/v1,./data/noise_image_lena_const.txt,5,256,512,1.429745
./bin/v1,./data/noise_image_lena_const.txt,5,256,1024,2.524830
./bin/v1,./data/noise_image_lena_const.txt,5,256,2048,0.005001
./bin/v1,./data/noise_image_lena_const.txt,5,512,32,1.149744
./bin/v1,./data/noise_image_lena_const.txt,5,512,64,1.178039
./bin/v1,./data/noise_image_lena_const.txt,5,512,128,1.135842
